customer_id,age,annual_income,loan_amount,credit_score,employment_years,existing_loans,previous_defaults,debt_to_income,dependents,account_age_months,employment_type,home_ownership,loan_purpose,monthly_expenses,default,total_transaction_amount,avg_transaction_amount,transaction_count,unique_merchant_categories,total_debit_amount,avg_debit_amount,debit_transaction_count,total_credit_amount,avg_credit_amount,credit_transaction_count,debit_credit_ratio
CUST_000001,59,180000.0,139954.72,705.0,11,1,0,0.451,4,43,Contract,Rented,Home,6176.89,1,3896.5,389.65,10,8,2765.5099999999998,395.0728571428571,7,1130.99,376.99666666666667,3.0,2.4452117171681444
CUST_000002,49,180000.0,329330.89,623.0,3,0,1,0.361,4,49,Salaried,Rented,Education,8441.01,1,3206.4100000000003,320.641,10,5,3171.57,352.3966666666667,9,34.84,34.84,1.0,91.03243398392652
CUST_000003,35,180000.0,329855.73,659.0,21,0,0,0.355,0,220,Salaried,Owned,Medical,9132.01,1,3358.96,335.896,10,5,3268.11,363.12333333333333,9,90.85,90.85,1.0,35.9725921849202
CUST_000004,63,180000.0,147445.04,703.0,12,2,0,0.635,0,202,Salaried,Owned,Education,6850.6,1,3098.77,309.877,10,4,2687.88,447.98,6,410.89,102.7225,4.0,6.541604809072989
CUST_000005,28,180000.0,81682.71,648.0,19,0,0,0.21,1,152,Salaried,Rented,Medical,8348.49,0,1553.61,155.361,10,7,1426.8799999999999,178.35999999999999,8,126.72999999999999,63.364999999999995,2.0,11.259212499013652
CUST_000006,41,180000.0,211319.19,672.0,27,1,0,0.395,3,125,Contract,Owned,Home,7481.01,1,2080.71,208.071,10,6,1733.17,216.64625,8,347.54,173.77,2.0,4.9869655291477235
CUST_000007,59,180000.0,150856.56,753.0,9,1,0,0.191,2,114,Contract,Rented,Medical,4904.81,1,1466.6200000000001,146.662,10,7,996.86,166.14333333333335,6,469.76,117.44,4.0,2.1220623297002725
CUST_000008,39,180000.0,494612.64,679.0,1,3,0,0.187,2,86,Business,Owned,Home,6818.1,1,2819.85,281.985,10,6,2673.18,297.02,9,146.67,146.67,1.0,18.225813049703415
CUST_000009,43,180000.0,167775.03,674.0,24,0,1,0.097,2,87,Salaried,Owned,Vehicle,10997.63,0,3703.01,370.30100000000004,10,6,1839.03,262.7185714285714,7,1863.98,621.3266666666667,3.0,0.9866146632474597
CUST_000010,31,180000.0,173489.55,638.0,16,4,0,0.235,2,31,Salaried,Mortgage,Vehicle,7453.35,0,3489.68,348.96799999999996,10,7,2890.7,361.3375,8,598.98,299.49,2.0,4.826037597248655
